GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
qa4,qa4,Triangle_classification,0,47,0,16,0,9,0,10,0,2
qa4,qa4,Triangle_classification.Triangle_Types,0,33,0,0,0,6,0,1,0,1
